,Temp,solar,wind,humid
2018-01-02 23:00:00,3.4,0.0,3.4,97.0
2018-01-03 00:00:00,3.2,0.0,3.6,96.0
2018-01-03 01:00:00,3.1,0.0,4.3,96.0
2018-01-03 02:00:00,3.1,0.0,4.7,95.0
2018-01-03 03:00:00,3.5,0.0,6.0,93.0
2018-01-03 04:00:00,3.6,0.0,7.1,92.0
2018-01-03 05:00:00,3.6,0.0,8.3,90.0
2018-01-03 06:00:00,3.3,0.0,9.1,91.0
2018-01-03 07:00:00,3.1,0.0,10.0,91.0
2018-01-03 08:00:00,2.8,0.0,9.3,92.0
2018-01-03 09:00:00,2.6,2.0,8.7,93.0
2018-01-03 10:00:00,2.5,9.0,9.2,93.0
2018-01-03 11:00:00,2.6,20.0,8.0,93.0
2018-01-03 12:00:00,2.7,25.0,6.4,94.0
2018-01-03 13:00:00,2.7,22.0,6.4,95.0
2018-01-03 14:00:00,2.6,12.0,5.0,96.0
2018-01-03 15:00:00,2.3,4.0,3.8,96.0
2018-01-03 16:00:00,2.4,0.0,2.6,96.0
2018-01-03 17:00:00,2.5,0.0,1.7,97.0
2018-01-03 18:00:00,2.6,0.0,2.1,97.0
2018-01-03 19:00:00,2.5,0.0,2.4,97.0
2018-01-03 20:00:00,2.3,0.0,2.1,97.0
2018-01-03 21:00:00,2.2,0.0,2.0,97.0
2018-01-03 22:00:00,2.1,0.0,2.1,97.0
2018-01-03 23:00:00,2.2,0.0,2.2,98.0
2018-01-04 00:00:00,2.3,0.0,2.1,98.0
2018-01-04 01:00:00,2.3,0.0,2.0,98.0
2018-01-04 02:00:00,2.2,0.0,1.3,99.0
2018-01-04 03:00:00,2.1,0.0,1.0,99.0
2018-01-04 04:00:00,2.2,0.0,1.5,99.0
2018-01-04 05:00:00,2.1,0.0,1.1,99.0
2018-01-04 06:00:00,2.0,0.0,1.4,99.0
2018-01-04 07:00:00,2.1,0.0,2.1,99.0
2018-01-04 08:00:00,2.0,1.0,2.2,100.0
2018-01-04 09:00:00,2.0,9.0,1.6,100.0
2018-01-04 10:00:00,2.4,10.0,0.8,100.0
2018-01-04 11:00:00,2.9,16.0,1.8,100.0
2018-01-04 12:00:00,2.9,19.0,1.6,99.0
2018-01-04 13:00:00,2.8,32.0,2.1,99.0
2018-01-04 14:00:00,2.9,36.0,2.0,96.0
2018-01-04 15:00:00,2.5,13.0,1.8,95.0
2018-01-04 16:00:00,2.2,0.0,0.7,96.0
